Id,Country,County,City,Name,Latitude,Longitude,Rating,UserRatingsTotal,OneStar,TwoStar,ThreeStar,FourStar,FiveStar,Mountains,Hills,Plains,Plateaus,Valleys,GlacialFields,Deltas,Canyons,Beaches,NatureSpots, StunningViews,Lakes,Parks,IconicCities,Farms,Castles,HistoricalHomes ,BoatRides,LakefrontAreas,SwimmingAreas,Caves,Playgrounds
18,Romania,Constanța,Mangalia,Mangalia Beach,43.81103299999999,28.5865457,4.4,1593,1,21,156,573,841,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Romania,Constanța,Constanța,Zoom Beach,44.19222540000001,28.6560044,4.4,3479,3,47,341,1252,1836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
47,Romania,Constanța,Mamaia,Myrtos Beach,44.230617,28.62859,4.4,970,1,13,95,349,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52,Romania,Constanța,Constanța,Yes Beach Constanta,44.1980521,28.6573773,5.0,7,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Romania,Constanța,Constanța,"""Modern"" Beach",44.1809304,28.6563829,4.2,6430,18,186,976,2561,2689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
78,Romania,Constanța,Eforie Sud,Eforie South Beach,44.031473,28.6538014,3.7,168,3,16,46,65,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
84,Romania,Constanța,Eforie Nord,Union Beach,44.0706712,28.63876,2.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
97,Romania,Constanța,Mamaia-Sat,Latina Beach,44.3039189,28.6277971,3.5,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
99,Romania,Constanța,Corbu,Sunshine Beach Corbu,44.3688391,28.705255,4.7,23,0,0,1,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
103,Romania,Constanța,Vadu,Wild Beach,44.4584389,28.7997855,4.8,6,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
